industry_id,name,category,sector_index,name_length
ELEC4,Electricity by hydro,Utilities,130,20
ELEC5,Electricity by wind,Utilities,131,19
ELEC6,Electricity by petroleum and other oil derivatives,Mining,132,50
ELEC7,Electricity by biomass and waste,Utilities,133,32
ELEC8,Electricity by solar photovoltaic,Utilities,134,33
ELEC9,Electricity by solar thermal,Utilities,135,28
ELE10,"Electricity by tide, wave, ocean",Utilities,136,32
ELE11,Electricity by Geothermal,Utilities,137,25
ELE12,Electricity nec,Utilities,138,15
TRAN1,Transmission services of electricity,Utilities,139,36
DISTR,Distribution and trade services of electricity,Utilities,140,46
COKE1,Coke oven gas,Mining,141,13
BLAST,Blast Furnace Gas,Mining,142,17
OXYGE,Oxygen Steel Furnace Gas,Mining,143,24
GASWO,Gas Works Gas,Mining,144,13
BIOG1,Biogas,Mining,145,6
DIST1,Distribution services of gaseous fuels through mains,Mining,146,52
STEAM,Steam and hot water supply services,Utilities,147,35
COLLE,"Collected and purified water, distribution services of water (41)",Utilities,148,65
CONST,Construction work (45),Construction,149,22
SEC10,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",Construction,150,111
SALEM,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Transportation Equipment,151,115
RETAI,Retail trade services of motor fuel,Transportation Equipment,152,35
WHOLE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",Transportation Equipment,153,92
RETA1,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",Transportation Equipment,154,118
HOTEL,Hotel and restaurant services (55),Accommodation & Food,155,34
RAILW,Railway transportation services,Transportation Equipment,156,31
LANDT,Other land transportation services,Transportation Equipment,157,34
TRAN2,Transportation services via pipelines,Transportation Equipment,158,37
SEACO,Sea and coastal water transportation services,Transportation Equipment,159,45
INLAN,Inland water transportation services,Transportation Equipment,160,36
AIRTR,Air transport services (62),Transportation Equipment,161,27
SUPPO,Supporting and auxiliary transport services; travel agency services (63),Transportation Equipment,162,72
POSTT,Post and telecommunication services (64),Information,163,40
FINAN,"Financial intermediation services, except insurance and pension funding services (65)",Information,164,85
INSUR,"Insurance and pension funding services, except compulsory social security services (66)",Finance & Insurance,165,87
AUXIL,Services auxiliary to financial intermediation (67),Information,166,51
REALE,Real estate services (70),Real Estate,167,25
RENTI,Renting services of machinery and equipment without operator and of personal and household goods (71),Machinery,168,101
COMPU,Computer and related services (72),Machinery,169,34
RESEA,Research and development services (73),Other Services,170,38
BUSIN,Other business services (74),Other Services,171,28
